disclosure_date,code,company_name,title
2026-08-03,45230,エーザイ,2026年度第1四半期 決算説明会
2026-08-03,45260,理研ビタミン,自己株式の取得状況に関するお知らせ
2026-08-03,45340,持田薬,2027年3月期 第1四半期決算短信〔日本基準〕（連結）
2026-08-03,45340,持田薬,自己株式の取得状況に関するお知らせ
2026-08-03,45440,ＨＵグループＨＤ,自己株式の取得状況に関するお知らせ
2026-08-03,45630,Ｇ－アンジェス,行使価額修正条項付新株予約権の月間行使状況に関するお知らせ
2026-08-03,45690,杏林製薬,アレルギー性結膜炎治療剤「アレジオン眼瞼クリーム0.5%」のプロモーション活動開始について
2026-08-03,45710,Ｇ－ＮＡＮＯ,第22回新株予約権（行使価額修正条項付）の月間行使状況に関するお知らせ
2026-08-03,45720,Ｇ－カルナバイオ,docirbrutinib（AS-1763）開発促進新株予約権（行使価額修正条項付）の月間行使状況に関するお知らせ
2026-08-03,45760,Ｇ－ＤＷＴＩ,第13回新株予約権（行使価額修正条項付）の月間行使状況に関するお知らせ
2026-08-03,45760,Ｇ－ＤＷＴＩ,財務上の特約が付された借入契約の変更に関するお知らせ
2026-08-03,45780,大塚ＨＤ,自己株式の取得状況に関するお知らせ
2026-08-03,45820,Ｇ－シンバイオ製薬,第三者割当により発行された第58回新株予約権及び第66回新株予約権（行使価額修正条項付）の 月間行使状況に関するお知らせ
2026-08-03,45830,Ｇ－カイオム,第23回新株予約権（行使価額修正条項付）の月間行使状況に関するお知らせ
2026-08-03,45860,Ｇ－メドレック,第三者割当により発行された第35回新株予約権（行使価額修正条項付）の月間行使状況に関するお知らせ
2026-08-03,45910,Ｇ－リボミック,軟骨無形成症治療薬（umedaptanib pegol）の国内第III相臨床試験：実施医療機関拡充（10施設）のお知らせ
2026-08-03,45940,Ｇ－ブライトパス,米国食品医薬品局(FDA)によるBP2202の治験申請(IND)受理のお知らせ
2026-08-03,45990,Ｇ－ステムリム,栄養障害型表皮水疱症の根治治療を目的とした幹細胞遺伝子治療技術（開発コード：SR-GT1）の特許登録（韓国）のお知らせ
2026-08-03,46420,オリジナル設,2026年12月期 第２四半期（中間期）決算短信〔日本基準〕（連結）
2026-08-03,46740,クレスコ,自己株式の取得状況に関するお知らせ（会社法第459条第1項の規定による当社定款の定めに基づく自己株式の取得）
2026-08-03,46840,オービック,自己株式の取得状況に関するお知らせ
2026-08-03,46890,ＬＩＮＥヤフー,2027年3月期第1四半期決算短信〔IFRS〕(連結)
2026-08-03,47090,ＩＤホールディングス,自己株式の取得状況に関するお知らせ（会社法第165条第２項の規定による定款の定めに基づく自己株式の取得）
2026-08-03,47180,早稲アカ,自己株式立会外買付取引（ToSTNeT-3）による自己株式の取得結果及び取得終了に関するお知らせ
2026-08-03,47360,日本ラッド,営業外収益の発生に関するお知らせ
2026-08-03,47360,日本ラッド,2027年３月期 第１四半期決算短信〔日本基準〕(連結)
2026-08-03,47460,東計電算,令和8年12月期第2四半期（中間期）決算短信〔日本基準〕（連結）
2026-08-03,47460,東計電算,剰余金の配当（中間配当）に関するお知らせ
2026-08-03,47460,東計電算,投資有価証券売却に伴う特別利益計上見込み及び通期業績予想の修正及び配当予想の修正（増配）に関するお知らせ
2026-08-03,47460,東計電算,株式分割及び定款の一部変更に関するお知らせ
2026-08-03,47680,大塚商会,2026年12月期 第2四半期（中間期）決算短信〔日本基準〕（連結）
2026-08-03,47680,大塚商会,業績予想の修正に関するお知らせ
2026-08-03,47680,大塚商会,剰余金の配当（中間配当）及び配当予想の修正に関するお知らせ
2026-08-03,47680,大塚商会,2026年12月期 第2四半期決算概要
2026-08-03,47680,大塚商会,2026年12月期 第2四半期決算説明補足資料
2026-08-03,47710,エフアンドエム,2027年3月期第1四半期決算説明資料
2026-08-03,48400,トライアイズ,第17回新株予約権（行使価額修正条項付）の月間行使状況に関するお知らせ
2026-08-03,485A0,Ｇ－パワーエックス,「Grid Connector」シリーズ発表に関するお知らせ
2026-08-03,485A0,Ｇ－パワーエックス,大規模蓄電所向け高容量蓄電システム「Mega Power 4000」シリーズ発表に関するお知らせ
2026-08-03,48830,Ｇ－モダリス,第三者割当により発行された第19回新株予約権（行使価額修正条項付）の月間行使状況に関するお知らせ
2026-08-03,48840,Ｇ－クリングル,第三者割当により発行された第16回新株予約権（行使価額修正条項付）の月間行使状況に関するお知らせ
2026-08-03,48910,Ｇ－ティムス,第10回新株予約権（行使価額修正条項付）の月間行使状況に関するお知らせ
2026-08-03,49280,ノエビアＨＤ,2026年9月期 第3四半期決算短信〔日本基準〕(連結)
2026-08-03,49350,リベルタ,第７回新株予約権（行使価額修正条項付）の月間行使状況に関するお知らせ
2026-08-03,49580,長谷川香,2026年9月期 第3四半期決算短信〔日本基準〕（連結）
2026-08-03,49660,上村工業,自己株式の取得状況に関するお知らせ
2026-08-03,50200,ＥＮＥＯＳ,自己株式の取得状況（途中経過）に関するお知らせ
2026-08-03,50270,Ｇ－ＡｎｙＭｉｎｄ,自己株式の取得状況に関するお知らせ
2026-08-03,51220,オカモト,自己株式取得状況（途中経過）に関するお知らせ
2026-08-03,51330,テリロジーＨＤ,自己株式の取得状況に関するお知らせ
2026-08-03,51840,ニチリン,自己株式取得状況に関するお知らせ
2026-08-03,51870,クリエート,自己株式の取得状況に関するお知らせ
2026-08-03,51950,バンドー化,自己株式の取得状況に関するお知らせ
2026-08-03,52140,日電硝,自己株式の取得状況に関するお知らせ
2026-08-03,52140,日電硝,2026年12月期第2四半期決算説明会資料
2026-08-03,52160,倉元,第９回新株予約権（固定行使価額型）の行使状況に関するお知らせ
